month,predicted_monthly_cost
2025-03-01,796.9654823879628
2025-04-01,360.43474507321815
2025-05-01,747.0343165375555
2025-06-01,707.0128568357896
2025-07-01,608.7381730567265
2025-08-01,1005.1532919533493
2025-09-01,553.905410780967
2025-10-01,805.7852599858419
2025-11-01,532.6691849380602
2025-12-01,815.4182056506105
2026-01-01,370.0530091411164
2026-02-01,573.4402650950578
2026-03-01,408.8434076447512
2026-04-01,-29.968740882409378
2026-05-01,317.890926592507
2026-06-01,294.79104826553584
2026-07-01,169.4726846377779
2026-08-01,551.8985546629834
2026-09-01,114.72350590859689
2026-10-01,340.8685849297648
2026-11-01,80.10898998753309
2026-12-01,353.5762246834177
2027-01-01,-104.98379300816447
2027-02-01,140.0355578560262
2027-03-01,21.67706779026136
