ds,predicted_monthly_cost,service
2024-12-01,80.76364653003759,Cloud CDN
2025-01-01,80.4608807135075,Cloud CDN
2025-02-01,74.92535321045752,Cloud CDN
2025-03-01,84.48031651555725,Cloud CDN
2025-04-01,83.07166165724895,Cloud CDN
2025-05-01,91.08020662161266,Cloud CDN
2025-06-01,85.39340243677,Cloud CDN
2025-07-01,90.58789150991217,Cloud CDN
2025-08-01,90.54918071223695,Cloud CDN
2025-09-01,90.9097329160563,Cloud CDN
2025-10-01,98.07448923931632,Cloud CDN
2025-11-01,96.84276864892168,Cloud CDN
2025-12-01,102.06971754970644,Cloud CDN
2026-01-01,102.61057684784474,Cloud CDN
2026-02-01,94.98008696936529,Cloud CDN
2026-03-01,106.24808479949165,Cloud CDN
2026-04-01,103.52023827162833,Cloud CDN
2026-05-01,111.68171565187863,Cloud CDN
2026-06-01,105.2461685409987,Cloud CDN
2026-07-01,110.95725196571173,Cloud CDN
2026-08-01,111.08366491512585,Cloud CDN
2026-09-01,110.68663048696955,Cloud CDN
2026-10-01,118.58496153888687,Cloud CDN
2023-10-01,27.61841971035135,Cloud DNS
2023-11-01,24.544063436843484,Cloud DNS
2023-12-01,29.221770132664723,Cloud DNS
2024-01-01,29.45153581774441,Cloud DNS
2024-02-01,26.615516157035152,Cloud DNS
2024-03-01,29.913504185888517,Cloud DNS
2024-04-01,31.70280465999586,Cloud DNS
2024-05-01,33.59865603871526,Cloud DNS
2024-06-01,36.04540884664599,Cloud DNS
2024-07-01,40.68528346831116,Cloud DNS
2024-08-01,37.42013282597401,Cloud DNS
2024-09-01,43.28539622400493,Cloud DNS
2024-10-01,43.82238829671839,Cloud DNS
2024-11-01,40.65904813933028,Cloud DNS
2024-12-01,46.33713267717877,Cloud DNS
2025-01-01,47.0835415052283,Cloud DNS
2025-02-01,42.07934343457491,Cloud DNS
2025-03-01,48.07799830121503,Cloud DNS
2025-04-01,49.19542819408444,Cloud DNS
2025-05-01,51.15278464339663,Cloud DNS
2025-06-01,52.463327327429994,Cloud DNS
2025-07-01,57.12850789251959,Cloud DNS
2025-08-01,53.53407919750748,Cloud DNS
2025-09-01,59.257572663084474,Cloud DNS
2025-10-01,60.94276761096538,Cloud DNS
2025-11-01,57.55591770931672,Cloud DNS
2025-12-01,63.82276287998885,Cloud DNS
2026-01-01,64.51365561901147,Cloud DNS
2026-02-01,57.88354316611291,Cloud DNS
2026-03-01,65.54917724367932,Cloud DNS
2026-04-01,66.07112669551506,Cloud DNS
2026-05-01,68.65895434023344,Cloud DNS
2026-06-01,69.34399948574035,Cloud DNS
2026-07-01,74.54897452144564,Cloud DNS
2026-08-01,71.01271865259132,Cloud DNS
2026-09-01,76.20811806398056,Cloud DNS
2026-10-01,78.40929456084375,Cloud DNS
2023-10-01,60.50795591035128,Cloud Filestore
2023-11-01,59.491206752705764,Cloud Filestore
2023-12-01,58.36640969242607,Cloud Filestore
2024-01-01,62.18881510243614,Cloud Filestore
2024-02-01,59.30543362437847,Cloud Filestore
2024-03-01,63.070205901980216,Cloud Filestore
2024-04-01,60.410491123360956,Cloud Filestore
2024-05-01,61.58441605409239,Cloud Filestore
2024-06-01,61.21438249904677,Cloud Filestore
2024-07-01,65.54025654233502,Cloud Filestore
2024-08-01,69.77756733836131,Cloud Filestore
2024-09-01,64.676239067709,Cloud Filestore
2024-10-01,72.02296136560092,Cloud Filestore
2024-11-01,70.10710050954617,Cloud Filestore
2024-12-01,68.91742022420802,Cloud Filestore
2025-01-01,73.05144969893045,Cloud Filestore
2025-02-01,67.72634728947327,Cloud Filestore
2025-03-01,75.42938334997672,Cloud Filestore
2025-04-01,72.92718815709891,Cloud Filestore
2025-05-01,74.52513549719345,Cloud Filestore
2025-06-01,73.49874551294776,Cloud Filestore
2025-07-01,77.54045178004912,Cloud Filestore
2025-08-01,81.10839775311443,Cloud Filestore
2025-09-01,75.13509930674101,Cloud Filestore
2025-10-01,82.17600138459157,Cloud Filestore
2025-11-01,79.27770885913269,Cloud Filestore
2025-12-01,77.91346848865737,Cloud Filestore
2026-01-01,81.06915380416999,Cloud Filestore
2026-02-01,74.02535998531918,Cloud Filestore
2026-03-01,81.299234271203,Cloud Filestore
2026-04-01,77.77930255024694,Cloud Filestore
2026-05-01,78.83316181987672,Cloud Filestore
2026-06-01,77.59423728138515,Cloud Filestore
2026-07-01,81.70467619179966,Cloud Filestore
2026-08-01,85.24419626840861,Cloud Filestore
2026-09-01,79.14210021990012,Cloud Filestore
2026-10-01,86.29777600531519,Cloud Filestore
2023-10-01,28.225516851950648,Cloud Functions
2023-11-01,27.60677382564379,Cloud Functions
2023-12-01,29.34737233925331,Cloud Functions
2024-01-01,32.61796500981068,Cloud Functions
2024-02-01,34.756659663479915,Cloud Functions
2024-03-01,34.99534893304484,Cloud Functions
2024-04-01,36.29290649181456,Cloud Functions
2024-05-01,39.55357171087573,Cloud Functions
2024-06-01,38.351645312457535,Cloud Functions
2024-07-01,43.90972460155756,Cloud Functions
2024-08-01,41.46224385321815,Cloud Functions
2024-09-01,42.147857663161446,Cloud Functions
2024-10-01,49.94017007474273,Cloud Functions
2024-11-01,46.413755289493416,Cloud Functions
2024-12-01,46.7046840905805,Cloud Functions
2025-01-01,48.09516189631098,Cloud Functions
2025-02-01,47.02758781589765,Cloud Functions
2025-03-01,49.745982955765434,Cloud Functions
2025-04-01,50.827645809151335,Cloud Functions
2025-05-01,55.05485914525062,Cloud Functions
2025-06-01,53.24255198210528,Cloud Functions
2025-07-01,58.50491358553766,Cloud Functions
2025-08-01,55.50705587482799,Cloud Functions
2025-09-01,55.263078161451666,Cloud Functions
2025-10-01,62.78742492240549,Cloud Functions
2025-11-01,58.234694978474906,Cloud Functions
2025-12-01,58.388212579850844,Cloud Functions
2026-01-01,58.95596195025538,Cloud Functions
2026-02-01,55.907096011315666,Cloud Functions
2026-03-01,58.634264983962844,Cloud Functions
2026-04-01,58.13353284875544,Cloud Functions
2026-05-01,61.68175940570921,Cloud Functions
2026-06-01,59.50988050461529,Cloud Functions
2026-07-01,64.73374925602981,Cloud Functions
2026-08-01,61.83183901688884,Cloud Functions
2026-09-01,61.25048981861463,Cloud Functions
2026-10-01,69.10849747496914,Cloud Functions
2023-10-01,37.16342642499787,Cloud IDS
2023-11-01,38.30866282653053,Cloud IDS
2023-12-01,39.3245571297506,Cloud IDS
2024-01-01,40.54627644179241,Cloud IDS
2024-02-01,38.6062223672985,Cloud IDS
2024-03-01,42.42017068596551,Cloud IDS
2024-04-01,40.880303659368984,Cloud IDS
2024-05-01,42.35288915095008,Cloud IDS
2024-06-01,41.713072431725834,Cloud IDS
2024-07-01,44.76047603557415,Cloud IDS
2024-08-01,45.68719445070745,Cloud IDS
2024-09-01,43.41379156206473,Cloud IDS
2024-10-01,45.46212271281001,Cloud IDS
2024-11-01,45.87399365641446,Cloud IDS
2024-12-01,46.97066731989001,Cloud IDS
2025-01-01,48.311661295245905,Cloud IDS
2025-02-01,44.51466948007476,Cloud IDS
2025-03-01,50.7528267380779,Cloud IDS
2025-04-01,49.24596356074516,Cloud IDS
2025-05-01,51.24726369395558,Cloud IDS
2025-06-01,50.46507049957481,Cloud IDS
2025-07-01,54.05199207794654,Cloud IDS
2025-08-01,54.95926724527769,Cloud IDS
2025-09-01,52.5314173042852,Cloud IDS
2025-10-01,54.88097148576332,Cloud IDS
2025-11-01,54.94144424846692,Cloud IDS
2025-12-01,56.458792316039876,Cloud IDS
2026-01-01,57.69713073395549,Cloud IDS
2026-02-01,52.86840072377779,Cloud IDS
2026-03-01,59.90665133525313,Cloud IDS
2026-04-01,58.03512011806947,Cloud IDS
2026-05-01,60.206237506624404,Cloud IDS
2026-06-01,59.22177733685756,Cloud IDS
2026-07-01,63.09361148819916,Cloud IDS
2026-08-01,63.948735471050824,Cloud IDS
2026-09-01,61.2805031031691,Cloud IDS
2026-10-01,63.89379182419342,Cloud IDS
2023-10-01,47.139115717162426,Cloud Logging
2023-11-01,47.036586636278756,Cloud Logging
2023-12-01,50.124422324637756,Cloud Logging
2024-01-01,50.3929537943165,Cloud Logging
2024-02-01,46.65049275996979,Cloud Logging
2024-03-01,52.53027879527577,Cloud Logging
2024-04-01,50.82645100711913,Cloud Logging
2024-05-01,54.06317958770153,Cloud Logging
2024-06-01,51.591002699148774,Cloud Logging
2024-07-01,53.81681575968404,Cloud Logging
2024-08-01,55.07366565922834,Cloud Logging
2024-09-01,52.08311428171137,Cloud Logging
2024-10-01,54.392659478865625,Cloud Logging
2024-11-01,53.81117720056606,Cloud Logging
2024-12-01,56.40387855434093,Cloud Logging
2025-01-01,55.85482691682426,Cloud Logging
2025-02-01,49.7881739478945,Cloud Logging
2025-03-01,58.21657416727958,Cloud Logging
2025-04-01,57.137700568903135,Cloud Logging
2025-05-01,61.33400165124104,Cloud Logging
2025-06-01,59.11950078223655,Cloud Logging
2025-07-01,62.04227844821731,Cloud Logging
2025-08-01,63.64962257280194,Cloud Logging
2025-09-01,60.62576320898954,Cloud Logging
2025-10-01,63.27396768965968,Cloud Logging
2025-11-01,62.64836581987032,Cloud Logging
2025-12-01,65.99169177118081,Cloud Logging
2026-01-01,65.93287977020921,Cloud Logging
2026-02-01,59.07717749584187,Cloud Logging
2026-03-01,68.40402231159256,Cloud Logging
2026-04-01,66.68712128814917,Cloud Logging
2026-05-01,71.05636675979306,Cloud Logging
2026-06-01,68.50413583891621,Cloud Logging
2026-07-01,71.62543752585965,Cloud Logging
2026-08-01,73.25409864329605,Cloud Logging
2026-09-01,69.9788728629323,Cloud Logging
2026-10-01,72.91640469184242,Cloud Logging
2023-10-01,33.50792663436739,Cloud Monitoring
2023-11-01,33.872293961607525,Cloud Monitoring
2023-12-01,34.85573303895665,Cloud Monitoring
2024-01-01,36.67645355427508,Cloud Monitoring
2024-02-01,34.90112725518277,Cloud Monitoring
2024-03-01,38.30491198953535,Cloud Monitoring
2024-04-01,37.54148328377601,Cloud Monitoring
2024-05-01,39.32082590677935,Cloud Monitoring
2024-06-01,38.70394948152098,Cloud Monitoring
2024-07-01,39.7231927155799,Cloud Monitoring
2024-08-01,39.909432461524226,Cloud Monitoring
2024-09-01,40.70761332665486,Cloud Monitoring
2024-10-01,42.19360434044251,Cloud Monitoring
2024-11-01,41.8375034922955,Cloud Monitoring
2024-12-01,42.40611490499177,Cloud Monitoring
2025-01-01,43.57225293542366,Cloud Monitoring
2025-02-01,39.67899837168692,Cloud Monitoring
2025-03-01,44.97373294011799,Cloud Monitoring
2025-04-01,44.439678442493445,Cloud Monitoring
2025-05-01,46.947907039394316,Cloud Monitoring
2025-06-01,46.26403051089238,Cloud Monitoring
2025-07-01,47.579535718319974,Cloud Monitoring
2025-08-01,47.59034317597877,Cloud Monitoring
2025-09-01,48.026057003424036,Cloud Monitoring
2025-10-01,49.55616537763863,Cloud Monitoring
2025-11-01,48.70061466677268,Cloud Monitoring
2025-12-01,49.42405367105042,Cloud Monitoring
2026-01-01,50.371539422334735,Cloud Monitoring
2026-02-01,45.570471649517245,Cloud Monitoring
2026-03-01,51.14249602791836,Cloud Monitoring
2026-04-01,50.044433926127255,Cloud Monitoring
2026-05-01,52.45120461020626,Cloud Monitoring
2026-06-01,51.53449363944567,Cloud Monitoring
2026-07-01,53.00384497631733,Cloud Monitoring
2026-08-01,52.98360156690656,Cloud Monitoring
2026-09-01,53.2558687937627,Cloud Monitoring
2026-10-01,55.00857760489729,Cloud Monitoring
2023-10-01,68.42927559243293,Cloud Run
2023-11-01,68.10470513724458,Cloud Run
2023-12-01,71.90330356803763,Cloud Run
2024-01-01,73.6650004842893,Cloud Run
2024-02-01,68.93626887616077,Cloud Run
2024-03-01,74.93095635184538,Cloud Run
2024-04-01,74.3003656832782,Cloud Run
2024-05-01,78.10227956298118,Cloud Run
2024-06-01,77.15809682356314,Cloud Run
2024-07-01,80.52777870072792,Cloud Run
2024-08-01,81.60721673429278,Cloud Run
2024-09-01,79.2655307669644,Cloud Run
2024-10-01,84.56583481734117,Cloud Run
2024-11-01,82.767107756365,Cloud Run
2024-12-01,86.3320270974002,Cloud Run
2025-01-01,88.44079251314241,Cloud Run
2025-02-01,80.50145460338207,Cloud Run
2025-03-01,90.4170068686787,Cloud Run
2025-04-01,88.83966491296292,Cloud Run
2025-05-01,93.21068407727341,Cloud Run
2025-06-01,91.90989984593541,Cloud Run
2025-07-01,96.10285325687359,Cloud Run
2025-08-01,97.81408681681314,Cloud Run
2025-09-01,95.2105784561915,Cloud Run
2025-10-01,100.43481189198255,Cloud Run
2025-11-01,97.44994633967843,Cloud Run
2025-12-01,100.69390352977274,Cloud Run
2026-01-01,101.63745286890345,Cloud Run
2026-02-01,91.38656576492058,Cloud Run
2026-03-01,101.95140201860873,Cloud Run
2026-04-01,100.03915984237064,Cloud Run
2026-05-01,104.78266327305506,Cloud Run
2026-06-01,103.15554143529076,Cloud Run
2026-07-01,107.67800370154521,Cloud Run
2026-08-01,109.4112464066675,Cloud Run
2026-09-01,106.4069029991153,Cloud Run
2026-10-01,112.05000090700058,Cloud Run
2023-10-01,17.882577950792683,Cloud SQL
2023-11-01,17.175586343917853,Cloud SQL
2023-12-01,17.75487021937143,Cloud SQL
2024-01-01,19.58104481703437,Cloud SQL
2024-02-01,17.627686675428965,Cloud SQL
2024-03-01,19.13487153405282,Cloud SQL
2024-04-01,18.694662730474608,Cloud SQL
2024-05-01,20.745712783221805,Cloud SQL
2024-06-01,17.26147170149205,Cloud SQL
2024-07-01,18.93635381062738,Cloud SQL
2024-08-01,18.33122091697222,Cloud SQL
2024-09-01,18.349585016775926,Cloud SQL
2024-10-01,18.239299037348665,Cloud SQL
2024-11-01,17.353475215558035,Cloud SQL
2024-12-01,17.953198283988403,Cloud SQL
2025-01-01,19.620675826324376,Cloud SQL
2025-02-01,16.900797114290874,Cloud SQL
2025-03-01,18.932696692802605,Cloud SQL
2025-04-01,18.39986241709081,Cloud SQL
2025-05-01,20.385510046487124,Cloud SQL
2025-06-01,16.8906488813017,Cloud SQL
2025-07-01,18.522199395824668,Cloud SQL
2025-08-01,17.88677082738967,Cloud SQL
2025-09-01,18.01261611334884,Cloud SQL
2025-10-01,17.9713571077153,Cloud SQL
2025-11-01,17.15587137813874,Cloud SQL
2025-12-01,17.836009877495123,Cloud SQL
2026-01-01,19.592580021493212,Cloud SQL
2026-02-01,16.972658909752514,Cloud SQL
2026-03-01,19.140933724097422,Cloud SQL
2026-04-01,18.593219321400518,Cloud SQL
2026-05-01,20.670595285875674,Cloud SQL
2026-06-01,17.2111914942665,Cloud SQL
2026-07-01,18.846969535385266,Cloud SQL
2026-08-01,18.176454003075566,Cloud SQL
2026-09-01,18.322323107256913,Cloud SQL
2026-10-01,18.2636536567917,Cloud SQL
2023-10-01,86.17732567291355,Cloud Scheduler
2023-11-01,85.03486631053009,Cloud Scheduler
2023-12-01,86.8887506647486,Cloud Scheduler
2024-01-01,87.00652901706331,Cloud Scheduler
2024-02-01,80.98881396748942,Cloud Scheduler
2024-03-01,86.6970924398648,Cloud Scheduler
2024-04-01,86.52025410004198,Cloud Scheduler
2024-05-01,88.89794767097219,Cloud Scheduler
2024-06-01,87.17337586063582,Cloud Scheduler
2024-07-01,90.61605866312301,Cloud Scheduler
2024-08-01,90.85336259181136,Cloud Scheduler
2024-09-01,88.4063010517445,Cloud Scheduler
2024-10-01,90.17540405087523,Cloud Scheduler
2024-11-01,88.97583254931627,Cloud Scheduler
2024-12-01,91.38121431749684,Cloud Scheduler
2025-01-01,91.83099959558731,Cloud Scheduler
2025-02-01,82.49164883413853,Cloud Scheduler
2025-03-01,90.79092195040474,Cloud Scheduler
2025-04-01,89.77159921293149,Cloud Scheduler
2025-05-01,92.37847576252761,Cloud Scheduler
2025-06-01,90.67272165017005,Cloud Scheduler
2025-07-01,94.03024647316406,Cloud Scheduler
2025-08-01,93.63573996047708,Cloud Scheduler
2025-09-01,90.6353355158713,Cloud Scheduler
2025-10-01,91.70849910869121,Cloud Scheduler
2025-11-01,89.75468238286204,Cloud Scheduler
2025-12-01,91.62050920183557,Cloud Scheduler
2026-01-01,91.3591445457318,Cloud Scheduler
2026-02-01,81.76041126991962,Cloud Scheduler
2026-03-01,90.08541524180086,Cloud Scheduler
2026-04-01,89.3722878132404,Cloud Scheduler
2026-05-01,91.78000487772336,Cloud Scheduler
2026-06-01,90.11786638785253,Cloud Scheduler
2026-07-01,93.45709707953759,Cloud Scheduler
2026-08-01,93.01202921570818,Cloud Scheduler
2026-09-01,90.09742324945594,Cloud Scheduler
2026-10-01,91.06406590690428,Cloud Scheduler
2023-10-01,60.25023904072756,Cloud Storage
2023-11-01,58.55590529067685,Cloud Storage
2023-12-01,64.60325962183758,Cloud Storage
2024-01-01,66.60214322620043,Cloud Storage
2024-02-01,61.195998994983206,Cloud Storage
2024-03-01,66.66071034292008,Cloud Storage
2024-04-01,61.418539822188656,Cloud Storage
2024-05-01,71.72372425168626,Cloud Storage
2024-06-01,69.82290775651232,Cloud Storage
2024-07-01,71.87201783728132,Cloud Storage
2024-08-01,73.6192451469515,Cloud Storage
2024-09-01,74.32569982843154,Cloud Storage
2024-10-01,73.85889735498634,Cloud Storage
2024-11-01,71.88447571470223,Cloud Storage
2024-12-01,78.53108899569705,Cloud Storage
2025-01-01,80.62391236596713,Cloud Storage
2025-02-01,72.09253122214403,Cloud Storage
2025-03-01,81.4833860517758,Cloud Storage
2025-04-01,76.27027137547722,Cloud Storage
2025-05-01,87.36316662303852,Cloud Storage
2025-06-01,85.33318173474952,Cloud Storage
2025-07-01,88.23333955661919,Cloud Storage
2025-08-01,90.36135183485996,Cloud Storage
2025-09-01,90.53301467388145,Cloud Storage
