Service,EC2-Instances($),Elastic Container Service for Kubernetes($),EC2-Other($),Relational Database Service($),VPC($),Elastic Container Service($),Elastic Load Balancing($),CloudWatch($),Key Management Service($),Secrets Manager($),EC2 Container Registry (ECR)($),Cost Explorer($),Inspector($),Security Hub($),S3($),Service Catalog($),Location Service($),SQS($),DynamoDB($),SNS($),Glacier($),Step Functions($),Lightsail($),Simple Workflow Service($),CloudShell($),CloudTrail($),Glue($),Tax($),Systems Manager($),CloudFormation($),Lambda($),X-Ray($),Total costs($)
10-11-2024,10.01280003,,0.538909828,,0.24,,,,0.000342,0.040345001,,,,0.004,5.29007E-05,,0.0003885,0,,0,7.59E-08,4.86E-08,,,,0,0,,0,,,,10.83683838
11-11-2024,11.16200003,,0.55694436,,0.29907222,,,,0.000234,0.040235001,,,,0.004,5.78674E-05,,0.000259,0.000014,,0,5.06E-08,3.24E-08,,,,0,0,,,,,,12.06281656
12-11-2024,12.39360003,,0.574011893,,0.36,,,,0.000342,0.038678334,,,,0.004,5.29008E-05,,0.0003885,0.0000204,,0,7.59E-08,4.86E-08,,,,0,0,,,,,,13.37109418
13-11-2024,12.39360003,,0.564864306,,0.36,,,,0.000234,0.040235001,,,,0.004,5.78678E-05,,0.000259,0.000014,,0,5.06E-08,3.24E-08,,,,0,0,,,,,,13.36326429
14-11-2024,12.39360003,,0.573676764,,0.36,,,,0.000228,0.040230001,,,,0.004,4.24677E-05,,0.000259,0.0000136,,0,5.06E-08,3.24E-08,,,,0,0,,,,,,13.37204994
15-11-2024,10.61028718,,0.547465953,,0.271129165,,,,0.000234,0.040235001,,,,0.004,5.78672E-05,,0.000259,0.000014,,0,5.06E-08,3.24E-08,,,,0,0,,,,,,11.47368225
16-11-2024,10.01280003,,0.538909817,,0.24,,,,0.000342,0.040345001,,,,0.004,5.29008E-05,,0.0003885,0.0000204,,0,7.59E-08,4.86E-08,,,,0,0,,,,,,10.83685877
17-11-2024,10.01280003,,0.538910614,,0.24,,,,0.000234,0.040235001,,,,0.004,5.78672E-05,,0.000259,0.000014,,0,5.06E-08,3.24E-08,,,,0,0,,,,,,10.83651059
18-11-2024,10.01280003,,0.532470232,,0.24,,,,0.000228,0.040230001,,,,0.004,4.24672E-05,,0.000259,0.0000136,,0,5.06E-08,3.24E-08,,,,0,0,,,,,,10.83004341
19-11-2024,10.02893159,0.290356998,0.926345271,,0.273366665,,,0.013253502,0.008786333,0.040235001,,,,0.004,5.78672E-05,,0.000259,0.000014,,0,5.06E-08,3.24E-08,,,,0,0,,,,,,11.58560631
20-11-2024,10.03390046,0.347571666,1.729053852,,0.36323611,,,0.014585217,0.035268223,0.040345001,,,,0.004,5.29008E-05,,0.0003885,0.0000204,,0,7.59E-08,4.86E-08,,,,0,0,,,,,,12.56842246
21-11-2024,10.01280003,,1.619374764,,0.36,,,,0.033666334,0.040235001,,,,0.004,5.78676E-05,,0.000259,0.000014,,0.0000015,5.06E-08,3.24E-08,,,,0,0,,,,,,12.07040858
22-11-2024,10.01280003,,1.620127992,,0.36,,,,0.033633334,0.040230001,,,,0.004,4.24672E-05,,0.000259,0.0000136,,0.000001,5.06E-08,3.24E-08,,,,0,0,,,,,,12.07110751
23-11-2024,10.01280003,,1.618910222,,0.36,,,,0.033666334,0.040235001,,,,0.004,5.78672E-05,,0.000259,0.000014,,0.0000015,5.06E-08,3.24E-08,,,,0,0,,,,,,12.06994404
24-11-2024,10.01280003,,1.612004872,,0.36,,,,0.033633334,0.040230001,,,,0.0032,4.24672E-05,,0.000259,0.0000136,,0.000001,5.06E-08,3.24E-08,,,,0,0,,,,,,12.06218439
25-11-2024,10.01280003,,1.620217552,,0.36,,,,0.033666334,0.040235001,,,,0.0032,5.78672E-05,,0.000259,0.000014,,0.0000015,5.06E-08,3.24E-08,,,,0,0,,,,,,12.07045137
26-11-2024,10.01280003,,1.620620822,,0.36,,,,0.033783334,0.040345001,,,,0.0032,5.29008E-05,,0.0003885,0.0000204,,0.0000015,7.59E-08,4.86E-08,,,,0,0,,,,,,12.07121261
27-11-2024,10.01280003,,1.619378195,,0.36,,,,0.033666334,0.040235001,,,,0.0032,5.78672E-05,,0.000259,0.000014,,0.0000015,5.06E-08,3.24E-08,,,,0,0,,,,,,12.06961201
28-11-2024,10.01280003,,1.612005569,,0.36,,,,0.033633334,0.040230001,,,,0.0032,4.24672E-05,,0.000259,0.0000136,,0.000001,5.06E-08,3.24E-08,,,,0,0,,,,,,12.06218508
